bedrooms,sqft,neighborhood,date_sold,has_pool,unknown_feature
3.0,1500,Downtown,2023-01-15,1.0,A
4.0,2000,Suburbs,2023-02-10,0.0,B
2.0,1100,Downtown,2023-01-20,1.0,C
5.0,3500,Suburbs,2023-03-05,1.0,B
3.0,1400,Rural,2023-04-12,0.0,B
3.0,1350,Downtown,2023-04-20,1.0,A
4.0,2200,Suburbs,2023-05-08,0.0,C
2.0,950,Rural,2023-05-15,0.0,B
5.0,3100,Downtown,2023-06-02,1.0,A
3.0,1250,Rural,2023-06-18,1.0,C
3.0,1700,Suburbs,2023-07-05,1.0,B
5.5,3550,Downtown,2023-07-22,1.0,A
2.0,1050,Rural,2023-08-11,0.0,B
4.0,1900,Downtown,2023-08-25,1.0,C
3.0,1450,Suburbs,2023-09-03,1.0,B
4.0,2500,Suburbs,2023-09-19,1.0,A
2.0,1000,Rural,2023-10-07,0.0,C
3.0,1600,Downtown,2023-10-21,1.0,B
5.0,2800,Suburbs,2023-11-12,1.0,B
3.0,1300,Rural,2023-11-28,0.0,A
3.0,1550,Downtown,2023-12-05,1.0,C
4.0,2100,Suburbs,2023-12-18,1.0,B
2.0,1150,Rural,2024-01-09,0.0,A
5.0,3300,Downtown,2024-01-25,1.0,C
3.0,1500,Suburbs,2024-02-14,1.0,B
